Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
UAE,2005,Stand-alone systematic intranet,Unmanned,New Jennifer,Navigation,45.37,85,Reusable Rocket,Medium,"UAE, China",116
Israel,2025,Grass-roots modular extranet,Unmanned,Paulaview,Communication,23.2,90,Solar Propulsion,High,"Japan, UK, Russia",84
Russia,2021,Open-architected national instruction set,Unmanned,Snyderfort,Navigation,43.9,87,Traditional Rocket,High,Russia,255
USA,2019,Synergistic intermediate secured line,Unmanned,South Kimberlyfort,Navigation,8.4,95,Solar Propulsion,Medium,Russia,247
USA,2021,Persevering motivating service-desk,Manned,West Kirkburgh,Navigation,46.94,85,Reusable Rocket,Medium,"Russia, UAE",162
UAE,2006,Pre-emptive impactful infrastructure,Manned,East Sharon,Communication,49.51,97,Nuclear Propulsion,High,"UK, Germany",29
Russia,2012,Reverse-engineered zero tolerance instruction set,Manned,New Jessicamouth,Spy,41.28,57,Solar Propulsion,Medium,"Japan, Israel",136
India,2000,De-engineered system-worthy throughput,Manned,Davisside,Navigation,3.27,63,Reusable Rocket,High,China,172
Germany,2010,Automated bandwidth-monitored hub,Unmanned,Brandonbury,Communication,2.96,60,Solar Propulsion,Medium,UAE,25
Russia,2018,Face-to-face mobile protocol,Manned,Kennethhaven,Weather,29.2,86,Traditional Rocket,Medium,"Germany, Japan, China",298
France,2009,De-engineered fault-tolerant throughput,Unmanned,Wilsonfort,Spy,10.1,81,Traditional Rocket,Low,UK,12
Japan,2001,Progressive 6thgeneration strategy,Unmanned,New James,Spy,25.85,77,Reusable Rocket,Medium,"UAE, Japan, China",200
USA,2022,Progressive coherent matrix,Manned,North Courtney,Weather,10.32,86,Reusable Rocket,High,"Japan, Russia",260
India,2019,Reduced empowering system engine,Unmanned,Port Dylanville,Spy,10.73,67,AI Navigation,Medium,Israel,248
USA,2018,Face-to-face bi-directional benchmark,Unmanned,West Collinfurt,Communication,37.48,86,Traditional Rocket,High,"Japan, UK, Russia",189
Russia,2003,Versatile bottom-line initiative,Unmanned,West Michael,Research,33.18,72,Solar Propulsion,High,UAE,176
France,2025,Ameliorated optimal time-frame,Unmanned,Myersburgh,Research,24.74,87,AI Navigation,Low,"China, UK",61
China,2015,Versatile radical algorithm,Manned,Bethanyhaven,Weather,44.84,79,Nuclear Propulsion,Medium,"UK, UAE",308
Germany,2011,User-friendly national customer loyalty,Unmanned,Steelemouth,Weather,5.34,68,Reusable Rocket,Low,"Japan, UK",24
UAE,2001,Integrated 6thgeneration alliance,Unmanned,New Justinberg,Communication,4.26,61,Nuclear Propulsion,High,"UK, USA",110
USA,2009,Secured exuding hardware,Unmanned,North Samuel,Navigation,29.46,70,Solar Propulsion,High,"UAE, Israel",297
Israel,2022,Optional zero-defect installation,Manned,Adamsshire,Spy,33.25,60,Traditional Rocket,Low,"Russia, USA, UAE",48
Japan,2002,Versatile stable definition,Unmanned,West Alexander,Navigation,48.84,68,Reusable Rocket,Medium,India,301
UK,2025,Implemented even-keeled monitoring,Manned,New Amy,Spy,7.91,60,Reusable Rocket,Medium,"France, China",229
USA,2011,Horizontal zero-defect success,Manned,Lake Crystalmouth,Navigation,24.81,65,Nuclear Propulsion,Medium,"Israel, USA, Japan",230
Germany,2014,Open-source actuating flexibility,Manned,North Lisaburgh,Weather,9.43,85,Traditional Rocket,High,USA,357
Germany,2025,Multi-lateral attitude-oriented alliance,Unmanned,West Kevinfurt,Weather,2.31,66,AI Navigation,Low,"Russia, Japan, Israel",310
USA,2011,Multi-tiered object-oriented Internet solution,Manned,New Laceyland,Communication,0.97,91,Solar Propulsion,Medium,"USA, Russia",272
Russia,2015,Ameliorated client-server data-warehouse,Manned,Kristaborough,Communication,23.43,85,Nuclear Propulsion,Low,"India, USA, Germany",91
Israel,2016,Synchronized needs-based capability,Unmanned,Francoshire,Weather,7.26,63,Solar Propulsion,Medium,UK,47
China,2012,Programmable context-sensitive architecture,Manned,Parkberg,Spy,13.53,87,Reusable Rocket,Low,UK,181
Russia,2014,Business-focused user-facing benchmark,Unmanned,Jonland,Communication,8.22,95,Reusable Rocket,High,"UAE, Japan, China",44
China,2016,Cross-group multimedia matrix,Manned,Huntstad,Spy,43.74,91,Nuclear Propulsion,Medium,USA,223
China,2024,User-centric eco-centric open architecture,Unmanned,East Rogershire,Spy,26.6,100,Traditional Rocket,High,"Germany, Israel, France",13
USA,2009,Cloned impactful Local Area Network,Manned,Georgebury,Weather,46.49,77,AI Navigation,Medium,USA,353
India,2022,Digitized content-based Internet solution,Unmanned,East Donna,Communication,40.22,62,Reusable Rocket,Medium,"Russia, India, UAE",229
UK,2018,Upgradable bi-directional initiative,Unmanned,Jamieview,Spy,18.27,97,Reusable Rocket,High,"China, Germany",270
USA,2004,Switchable bandwidth-monitored hub,Unmanned,Johnfort,Navigation,22.05,82,Solar Propulsion,Low,"UK, Russia, Israel",38
Israel,2009,Open-architected object-oriented knowledge user,Unmanned,Lisafort,Spy,33.8,74,Reusable Rocket,High,France,243
Japan,2000,Cross-group non-volatile migration,Manned,Priscillafurt,Communication,10.78,97,Traditional Rocket,Low,UAE,66
France,2003,Face-to-face modular parallelism,Manned,Jonesberg,Communication,37.2,80,Traditional Rocket,High,"UK, USA, Russia",194
Japan,2013,Future-proofed dynamic help-desk,Manned,Stephentown,Communication,23.02,53,Nuclear Propulsion,Medium,"UAE, Germany",236
France,2014,Reduced secondary framework,Manned,Chadfort,Weather,34.36,80,Solar Propulsion,Medium,"Israel, Japan, France",118
China,2021,Team-oriented web-enabled leverage,Manned,Watkinsside,Research,14.41,92,Traditional Rocket,Low,USA,251
Israel,2024,Cross-platform motivating extranet,Unmanned,Robertsland,Spy,17.65,89,Reusable Rocket,High,"Japan, USA, China",335
China,2015,Quality-focused real-time matrices,Manned,Greenfort,Communication,4.93,65,AI Navigation,Medium,"Japan, Russia, India",276
Germany,2019,Multi-layered foreground access,Manned,Raymouth,Weather,41.81,85,Nuclear Propulsion,Low,Israel,301
Russia,2017,Centralized object-oriented function,Unmanned,East Kaylaville,Communication,19.56,68,Traditional Rocket,High,"Japan, Germany, China",300
India,2007,Right-sized zero-defect emulation,Manned,Benjaminhaven,Research,8.35,86,AI Navigation,High,"Israel, China",142
Israel,2020,Open-source executive solution,Unmanned,North Lisafort,Spy,17.22,50,AI Navigation,High,"France, India, UAE",138
UAE,2013,Cross-platform logistical application,Manned,Jasonfort,Navigation,44.8,81,Traditional Rocket,Low,Germany,193
France,2009,Horizontal contextually-based flexibility,Unmanned,Lake David,Navigation,35.21,55,AI Navigation,Low,USA,222
UK,2008,Ergonomic dedicated encryption,Unmanned,West Michaelchester,Spy,13.7,84,AI Navigation,Medium,"USA, UK",105
Israel,2022,Mandatory disintermediate middleware,Manned,Daviston,Spy,25.52,85,Nuclear Propulsion,High,USA,290
India,2007,Advanced mobile installation,Manned,South John,Navigation,33.15,68,Solar Propulsion,Low,"India, USA",327
UAE,2023,Streamlined mission-critical structure,Manned,Martinezmouth,Communication,8.82,67,Solar Propulsion,Low,France,172
USA,2024,Advanced analyzing algorithm,Unmanned,Travischester,Weather,34.04,75,Reusable Rocket,Medium,"Israel, UAE, USA",26
UAE,2008,Public-key bandwidth-monitored service-desk,Manned,Sarahville,Weather,22.62,74,AI Navigation,Low,"Germany, UAE",320
USA,2005,Right-sized upward-trending open system,Manned,Alanberg,Navigation,10.38,51,Solar Propulsion,Medium,"France, Germany, Japan",357
France,2006,Devolved contextually-based architecture,Manned,Port Gregory,Spy,7.87,81,Nuclear Propulsion,Medium,"France, India",240
France,2007,Switchable uniform budgetary management,Manned,West Henryport,Navigation,26.44,84,Solar Propulsion,Medium,"UK, USA",209
Germany,2006,Extended hybrid support,Manned,Nguyenburgh,Weather,26.97,82,Solar Propulsion,High,India,51
USA,2001,Self-enabling impactful ability,Manned,Kaneborough,Research,41.25,51,AI Navigation,Low,Russia,69
UAE,2010,Robust grid-enabled website,Unmanned,Jasonborough,Spy,4.79,93,Nuclear Propulsion,Low,"India, UAE, Israel",122
UAE,2004,Profound holistic knowledgebase,Manned,North Jeffrey,Communication,10.49,55,Traditional Rocket,Low,Israel,278
Israel,2020,Upgradable well-modulated extranet,Unmanned,Garciaton,Spy,28.21,87,Reusable Rocket,High,India,40
UK,2016,Centralized multimedia process improvement,Manned,Sandraton,Navigation,34.64,68,Reusable Rocket,High,"Israel, China",360
UK,2015,Right-sized 3rdgeneration support,Unmanned,Kimberlystad,Spy,34.12,50,Traditional Rocket,High,Japan,34
France,2014,Assimilated local paradigm,Unmanned,New Travis,Spy,5.0,68,AI Navigation,Medium,"UK, USA, UAE",233
India,2001,Configurable solution-oriented product,Unmanned,North Dylan,Communication,16.46,57,Reusable Rocket,Medium,"China, Israel",296
UK,2015,Re-contextualized optimizing website,Manned,New Amanda,Spy,28.13,95,AI Navigation,Medium,Germany,209
Israel,2008,Business-focused maximized artificial intelligence,Unmanned,West Johnborough,Navigation,21.3,83,Solar Propulsion,Low,"Russia, Israel",325
Japan,2012,Proactive interactive implementation,Manned,Brownville,Communication,43.09,73,AI Navigation,Medium,"Russia, UAE",253
UK,2022,Customer-focused national initiative,Manned,Jamesfort,Navigation,37.91,55,Traditional Rocket,Medium,USA,69
China,2008,Virtual attitude-oriented archive,Unmanned,Lake Kaitlyn,Communication,3.17,68,Solar Propulsion,Low,"Germany, Israel, China",178
Russia,2006,Networked background knowledgebase,Manned,Lake Brandifurt,Navigation,0.85,73,Traditional Rocket,Medium,"Germany, Russia, Israel",334
Japan,2022,Business-focused tangible database,Unmanned,New James,Navigation,5.31,87,Reusable Rocket,High,"Russia, China, Germany",142
France,2022,Profound high-level encoding,Manned,Barbarahaven,Research,37.06,60,Nuclear Propulsion,Low,USA,170
USA,2012,Decentralized directional ability,Unmanned,Port David,Weather,10.86,70,AI Navigation,Low,"Russia, China",2
China,2004,Stand-alone web-enabled parallelism,Manned,Jacksonton,Navigation,16.7,60,Reusable Rocket,High,UAE,271
China,2005,Implemented directional secured line,Unmanned,Lake Christophermouth,Navigation,48.71,76,Traditional Rocket,Medium,"Israel, Germany, China",199
France,2015,Configurable logistical orchestration,Manned,Mackland,Research,32.36,70,Traditional Rocket,Medium,"China, UAE",39
China,2004,User-friendly zero tolerance structure,Unmanned,Lake Laura,Navigation,8.78,71,Reusable Rocket,Low,"USA, China",330
UAE,2001,Triple-buffered content-based algorithm,Unmanned,Jenniferfort,Weather,1.93,90,Traditional Rocket,High,"Japan, USA",209
UAE,2009,Business-focused hybrid productivity,Manned,Crystalmouth,Weather,38.92,78,Reusable Rocket,High,"China, UK, Israel",316
Israel,2005,Distributed content-based pricing structure,Manned,Josehaven,Weather,37.67,76,Solar Propulsion,High,Germany,351
China,2006,Focused incremental structure,Manned,Port Samuelbury,Communication,48.28,95,Reusable Rocket,Low,Israel,215
UAE,2013,Persistent optimal software,Manned,New Eric,Weather,36.12,98,AI Navigation,Medium,Germany,122
Russia,2003,Exclusive intangible algorithm,Unmanned,Adambury,Research,45.83,82,AI Navigation,Medium,"India, China, Russia",158
Russia,2017,Compatible heuristic capacity,Unmanned,New Megan,Weather,33.17,89,Solar Propulsion,Low,France,352
USA,2011,User-centric neutral paradigm,Manned,Robertborough,Weather,42.82,100,AI Navigation,Medium,"USA, China",108
UAE,2002,Managed hybrid parallelism,Manned,Johnsonfort,Navigation,11.75,60,Solar Propulsion,Medium,"Japan, France",36
India,2008,Polarized impactful moratorium,Manned,Nunezhaven,Spy,42.55,71,AI Navigation,Medium,Israel,141
China,2004,Front-line human-resource solution,Unmanned,Toddmouth,Communication,25.84,70,AI Navigation,Medium,"UAE, China",81
Israel,2018,Managed next generation focus group,Manned,Wendyberg,Research,36.71,61,Reusable Rocket,High,"USA, China",53
Israel,2000,Organized content-based architecture,Unmanned,North Michellefurt,Navigation,20.27,66,Solar Propulsion,High,"UK, Germany, Japan",2
Israel,2012,Function-based systematic benchmark,Manned,South Walterberg,Research,15.17,78,Solar Propulsion,Low,"Japan, China",248
Germany,2024,Visionary modular attitude,Unmanned,Racheltown,Weather,12.38,73,Nuclear Propulsion,Low,"China, Russia",164
UAE,2006,User-friendly asynchronous paradigm,Unmanned,Lake Brianna,Communication,23.3,56,Nuclear Propulsion,Medium,"Germany, Russia, Israel",169
Japan,2022,User-centric zero tolerance collaboration,Unmanned,North Walter,Research,14.89,78,Solar Propulsion,Low,"Japan, China",310
UAE,2011,Polarized holistic data-warehouse,Manned,East Angela,Communication,22.49,64,Reusable Rocket,High,Germany,150
China,2015,Upgradable directional firmware,Unmanned,Victoriatown,Weather,24.79,84,AI Navigation,High,"USA, India, Russia",132
Germany,2023,Compatible directional concept,Unmanned,North Danielchester,Research,17.17,51,AI Navigation,High,France,39
France,2021,Business-focused global projection,Manned,North Sheila,Communication,47.11,98,Solar Propulsion,High,"UK, India",139
UK,2012,Enterprise-wide tertiary collaboration,Manned,East Candaceton,Spy,0.62,53,Traditional Rocket,High,"Russia, Japan, UAE",349
China,2018,Multi-channeled optimal core,Unmanned,Nunezfort,Weather,46.9,58,Solar Propulsion,Medium,USA,42
France,2007,Robust 24/7 website,Manned,Bennetttown,Weather,30.25,82,AI Navigation,Medium,"UAE, Russia, Germany",33
Israel,2003,Inverse holistic utilization,Manned,South Matthew,Spy,21.75,76,AI Navigation,Medium,Russia,33
India,2007,Innovative tertiary structure,Manned,Lake Brendanmouth,Spy,24.88,54,Nuclear Propulsion,Medium,Japan,218
UAE,2012,Compatible intangible workforce,Manned,Larryport,Communication,10.79,86,Traditional Rocket,Low,"USA, India, Israel",78
China,2008,Realigned web-enabled algorithm,Manned,West Tammyville,Navigation,15.13,72,AI Navigation,Low,France,254
India,2022,Adaptive tangible installation,Manned,North Tinaburgh,Navigation,3.81,82,Reusable Rocket,Medium,Russia,338
France,2000,Digitized exuding support,Manned,Lindaview,Weather,36.4,55,Nuclear Propulsion,Low,"Israel, UAE",75
Japan,2019,De-engineered tangible migration,Manned,Julianstad,Research,24.46,83,Reusable Rocket,Low,India,28
Germany,2012,Front-line global focus group,Unmanned,East Renee,Weather,5.3,86,Nuclear Propulsion,Low,"Japan, USA, Israel",57
UK,2021,Function-based even-keeled algorithm,Unmanned,South Amandaton,Weather,17.59,61,Nuclear Propulsion,Low,Germany,40
UK,2000,Automated asynchronous model,Manned,East Toddhaven,Spy,31.46,93,Solar Propulsion,Low,USA,193
UAE,2016,Fundamental homogeneous ability,Unmanned,Carterview,Communication,31.41,86,Reusable Rocket,Medium,"Israel, Russia",285
India,2014,Synergized user-facing emulation,Unmanned,Robertsshire,Research,3.77,84,Solar Propulsion,Medium,France,202
UAE,2024,Organic bottom-line adapter,Unmanned,Mistyberg,Weather,26.55,92,AI Navigation,Low,"UK, USA, UAE",323
Japan,2024,Secured executive complexity,Manned,West Thomashaven,Navigation,15.62,89,AI Navigation,Low,"Russia, USA, Israel",27
Russia,2012,Grass-roots intermediate alliance,Unmanned,Lake Eric,Research,25.54,88,Nuclear Propulsion,High,"Germany, France",43
France,2013,Balanced upward-trending alliance,Manned,East Matthew,Weather,28.8,89,Solar Propulsion,High,Germany,213
USA,2000,Quality-focused upward-trending project,Manned,Harrisfurt,Spy,41.13,96,Solar Propulsion,High,"Israel, UK, Japan",173
Japan,2017,Pre-emptive neutral infrastructure,Unmanned,West Dustin,Navigation,24.68,64,Reusable Rocket,Medium,France,332
USA,2006,Customer-focused bottom-line benchmark,Unmanned,Morrisville,Spy,14.56,58,AI Navigation,High,China,13
Israel,2006,Robust scalable initiative,Unmanned,South Kristinborough,Research,27.37,80,AI Navigation,High,"Japan, Israel",182
Germany,2011,Persevering stable access,Manned,Port Cameron,Communication,18.48,70,Solar Propulsion,Low,"China, Germany, UAE",349
Israel,2001,Multi-lateral executive strategy,Manned,Jamesstad,Weather,28.93,63,Solar Propulsion,Medium,UAE,132
UAE,2001,Team-oriented context-sensitive interface,Manned,East Tina,Spy,34.81,78,Nuclear Propulsion,High,Russia,99
India,2021,Assimilated client-driven functionalities,Unmanned,South Tony,Navigation,38.15,83,Traditional Rocket,Low,"China, USA, France",45
UK,2002,Proactive solution-oriented standardization,Unmanned,East Shannon,Communication,5.8,55,Traditional Rocket,Low,"France, Japan, USA",84
Israel,2007,Pre-emptive context-sensitive utilization,Unmanned,Port Anthonyport,Research,8.78,51,AI Navigation,Medium,"Israel, Japan",294
Japan,2006,Seamless 24hour contingency,Manned,Clarkshire,Communication,27.85,64,Reusable Rocket,Medium,"UK, UAE, USA",334
France,2014,Progressive directional customer loyalty,Unmanned,Johnsonchester,Communication,42.79,77,Solar Propulsion,High,France,309
France,2014,Vision-oriented global infrastructure,Manned,Port Amyville,Spy,7.02,58,Traditional Rocket,High,"UAE, Germany, Japan",297
Israel,2003,Centralized asymmetric system engine,Manned,North Benjamin,Research,34.18,88,Solar Propulsion,High,"Russia, UAE",136
China,2008,Right-sized optimizing moratorium,Unmanned,Lake Mike,Research,44.62,100,Solar Propulsion,Medium,"China, France",220
UK,2008,Centralized fresh-thinking neural-net,Unmanned,Christopherton,Weather,29.68,57,AI Navigation,Low,"Israel, Japan, Germany",221
Japan,2021,Switchable client-server open system,Unmanned,Wardfurt,Spy,22.78,69,AI Navigation,Low,"UK, India",145
Japan,2005,Stand-alone tangible protocol,Unmanned,New Andrew,Communication,42.07,93,Traditional Rocket,High,Germany,182
